Period,Ratio,Group,Keyword,Gender
2023-01-01,24.80308,20,유산균,Female
2023-01-01,66.27574,30,유산균,Female
2023-01-01,75.75412,40,유산균,Female
2023-01-01,40.78417,50,유산균,Female
2023-01-01,11.42715,60,유산균,Female
2023-02-01,0.96271,10,유산균,Female
2023-02-01,24.17002,20,유산균,Female
2023-02-01,59.13122,30,유산균,Female
2023-02-01,70.66048,40,유산균,Female
2023-02-01,39.08337,50,유산균,Female
2023-02-01,9.82846,60,유산균,Female
2023-03-01,0.81393,10,유산균,Female
2023-03-01,43.43894,20,유산균,Female
2023-03-01,86.48404,30,유산균,Female
2023-03-01,92.3391,40,유산균,Female
2023-03-01,57.52085,50,유산균,Female
2023-03-01,15.77688,60,유산균,Female
2023-04-01,0.78767,10,유산균,Female
2023-04-01,27.77583,20,유산균,Female
2023-04-01,63.51887,30,유산균,Female
2023-04-01,84.06266,40,유산균,Female
2023-04-01,43.91446,50,유산균,Female
2023-04-01,11.77723,60,유산균,Female
2023-05-01,0.74683,10,유산균,Female
2023-05-01,25.85039,20,유산균,Female
2023-05-01,62.38987,30,유산균,Female
2023-05-01,79.3366,40,유산균,Female
2023-05-01,46.96306,50,유산균,Female
2023-05-01,12.27026,60,유산균,Female
2023-06-01,0.9102,10,유산균,Female
2023-06-01,24.28379,20,유산균,Female
2023-06-01,63.9623,30,유산균,Female
2023-06-01,75.94667,40,유산균,Female
2023-06-01,41.24511,50,유산균,Female
2023-06-01,12.6816,60,유산균,Female
2023-07-01,1.35363,10,유산균,Female
2023-07-01,21.35772,20,유산균,Female
2023-07-01,43.92029,30,유산균,Female
2023-07-01,60.87578,40,유산균,Female
2023-07-01,36.05227,50,유산균,Female
2023-07-01,8.83948,60,유산균,Female
2018-01-01,1.29107,10,유산균,Male
2018-01-01,22.05796,20,유산균,Male
2018-01-01,34.98805,30,유산균,Male
2018-01-01,22.18707,40,유산균,Male
2018-01-01,7.16545,50,유산균,Male
2018-01-01,2.25937,60,유산균,Male
2018-02-01,1.35562,10,유산균,Male
2018-02-01,15.98992,20,유산균,Male
2018-02-01,28.93292,30,유산균,Male
2018-02-01,19.73403,40,유산균,Male
2018-02-01,5.74527,50,유산균,Male
2018-02-01,2.84035,60,유산균,Male
2018-03-01,1.00703,10,유산균,Male
2018-03-01,20.41185,20,유산균,Male
2018-03-01,34.63946,30,유산균,Male
2018-03-01,24.20114,40,유산균,Male
2018-03-01,8.38551,50,유산균,Male
2018-03-01,2.76934,60,유산균,Male
2018-04-01,1.25234,10,유산균,Male
2018-04-01,16.46117,20,유산균,Male
2018-04-01,30.95345,30,유산균,Male
2018-04-01,20.6507,40,유산균,Male
2018-04-01,6.28106,50,유산균,Male
2018-04-01,2.19482,60,유산균,Male
2018-05-01,0.84565,10,유산균,Male
2018-05-01,15.55742,20,유산균,Male
2018-05-01,27.66767,30,유산균,Male
2018-05-01,17.75869,40,유산균,Male
2018-05-01,5.31921,50,유산균,Male
2018-05-01,2.09799,60,유산균,Male
2018-06-01,0.81337,10,유산균,Male
